Date,PG,MSFT,F,GE
1995-04-19,9.856544,3.160008,5.119793,4.845592
1995-04-20,9.965455,3.123685,5.050606,4.779212
1995-04-21,10.038064,3.113307,4.981421,4.867717
1995-04-24,10.165129,3.227464,5.027544,4.911969
1995-04-25,9.874699,3.320862,5.073668,4.934095
1995-04-26,9.947303,3.305295,5.038215,4.945158
1995-04-27,9.910999,3.263785,5.014891,4.989408
1995-04-28,10.146978,3.393506,5.061542,4.956222
1995-05-01,10.074366,3.409072,5.038215,4.989408
1995-05-02,10.146978,3.3027,4.968243,4.978345
1995-05-03,10.310345,3.357184,4.944917,5.011536
1995-05-04,10.328498,3.383128,4.851616,5.055785
1995-05-05,10.219586,3.320862,4.944917,5.077912
1995-05-08,10.401107,3.315673,4.991565,5.177479
1995-05-09,10.346653,3.313077,5.061542,5.18854
1995-05-10,10.310345,3.289727,5.294792,5.232795
1995-05-11,10.27404,3.377939,5.131516,5.166417
1995-05-12,10.074366,3.351994,5.318117,5.221733
1995-05-15,10.074366,3.375344,5.481392,5.10004
1995-05-16,10.038064,3.523226,5.481392,5.033661
1995-05-17,10.019916,3.569925,5.411417,5.088974
1995-05-18,9.874699,3.512849,5.271467,5.000472
1995-05-19,9.874699,3.543982,5.341442,5.000472
1995-05-22,9.983614,3.621815,5.388093,5.055785
1995-05-23,10.038064,3.673704,5.504719,5.10004
1995-05-24,10.019916,3.632192,5.388093,5.055785
1995-05-25,10.20143,3.704837,5.364767,5.000472
1995-05-26,10.110676,3.632192,5.294792,4.989408
1995-05-30,10.110676,3.445394,5.294792,5.011536
1995-05-31,10.437407,3.515444,5.458069,5.133228
1995-06-01,10.310345,3.492093,5.598017,5.133228
1995-06-02,10.20143,3.450584,5.598017,5.022598
1995-06-05,10.183278,3.518037,5.691319,5.122164
1995-06-06,10.27404,3.450584,5.598017,5.10004
1995-06-07,10.255894,3.486905,5.598017,5.077912
1995-06-08,10.27404,3.492093,5.598017,5.033661
1995-06-09,10.20143,3.523226,5.528045,4.923031
1995-06-12,10.310345,3.476526,5.574693,5.022598
1995-06-13,10.382953,3.481715,5.551369,5.088974
1995-06-14,10.437407,3.479121,5.551369,5.111102
1995-06-15,10.528168,3.523226,5.528045,5.111102
1995-06-16,10.618926,3.611438,5.504719,5.077912
1995-06-19,10.745996,3.728185,5.574693,5.122164
1995-06-20,10.637082,3.793046,5.691319,5.066848
1995-06-21,10.691539,3.756724,5.761294,5.055785
1995-06-22,10.637082,3.8138,5.714643,5.066848
1995-06-23,10.346653,3.782669,5.691319,5.055785
1995-06-26,10.419257,3.725591,5.667992,5.033661
1995-06-27,10.510015,3.60625,5.64467,5.022598
1995-06-28,10.546319,3.647758,5.64467,5.022598
1995-06-29,10.49186,3.710026,5.574693,4.956222
1995-06-30,10.437407,3.751536,5.551369,5.026204
1995-07-03,10.473711,3.774885,5.667992,5.087501
1995-07-05,10.3648,3.764508,5.737967,5.148795
1995-07-06,10.165129,3.850123,5.97122,5.260244
1995-07-07,10.019916,3.969467,6.041194,5.349399
1995-07-10,10.038064,4.104377,6.134494,5.327107
1995-07-11,10.146978,4.005789,6.017871,5.260244
1995-07-12,10.165129,4.145889,6.087846,5.271388
1995-07-13,10.110676,4.156265,6.041194,5.215667
1995-07-14,10.092518,4.301553,5.97122,5.182231
1995-07-17,10.092518,4.524675,5.97122,5.30482
1995-07-18,10.092518,4.22891,5.78462,5.260244
1995-07-19,10.041402,3.922768,5.62134,5.182231
1995-07-20,9.785801,3.990223,5.411417,5.293676
1995-07-21,9.767544,3.818991,5.388093,5.338254
1995-07-24,9.822314,3.886446,5.364767,5.315964
1995-07-25,9.931855,4.000599,5.574693,5.315964
1995-07-26,10.18746,3.985033,5.504719,5.282531
1995-07-27,10.242229,4.005789,5.551369,5.282531
1995-07-28,10.18746,3.844936,5.458069,5.237953
1995-07-31,10.05966,3.756724,5.469385,5.260244
1995-08-01,10.041402,3.715213,5.398662,5.226809
1995-08-02,10.150946,3.694458,5.422234,5.115362
1995-08-03,9.986628,3.782669,5.375087,5.115362
1995-08-04,10.169204,3.896823,5.422234,5.137655
1995-08-07,10.132683,3.886446,5.469385,5.237953
1995-08-08,10.077914,3.881257,5.469385,5.260244
1995-08-09,9.986628,4.005789,5.375087,5.226809
1995-08-10,10.023145,3.907202,5.351511,5.171086
1995-08-11,10.041402,4.005789,5.280788,5.148795
1995-08-14,10.05966,4.099188,5.445811,5.226809
1995-08-15,9.986628,4.083623,5.398662,5.226809
1995-08-16,9.822314,4.099188,5.375087,5.193375
1995-08-17,9.785801,4.114755,5.327936,5.137655
1995-08-18,9.804059,4.031734,5.327936,5.104216
1995-08-21,9.785801,3.922768,5.351511,5.126507
1995-08-22,9.822314,4.122539,5.351511,5.126507
1995-08-23,9.877089,4.062866,5.445811,5.104216
1995-08-24,9.968369,3.990223,5.492961,5.148795
1995-08-25,10.05966,3.917579,5.422234,5.204519
1995-08-28,10.114428,3.738563,5.492961,5.237953
1995-08-29,10.150946,3.8138,5.705136,5.249098
1995-08-30,10.150946,3.870881,5.728712,5.260244
1995-08-31,10.132683,3.839746,5.799436,5.249098
1995-09-01,10.132683,3.725591,5.893735,5.237953
1995-09-05,10.169204,3.943523,6.10591,5.237953
1995-09-06,10.169204,3.881257,5.988036,5.293676
1995-09-07,10.132683,3.927956,5.893735,5.271388
1995-09-08,10.169204,3.964279,6.035185,5.237953
1995-09-11,10.388287,4.052491,6.035185,5.249098
1995-09-12,10.461312,3.995412,5.823009,5.349399
1995-09-13,10.698653,3.990223,5.705136,5.405122
1995-09-14,10.899482,3.938334,5.799436,5.561145
1995-09-15,10.972512,3.878663,6.035185,5.694882
1995-09-18,10.931427,3.818991,5.988036,5.561145
1995-09-19,11.02728,3.873473,5.91731,5.527712
1995-09-20,10.99077,3.86569,6.082334,5.527712
1995-09-21,11.0638,3.761915,5.940887,5.538857
1995-09-22,11.191594,3.725591,5.846586,5.61687
1995-09-25,11.337654,3.745697,5.91731,5.73946
1995-09-26,11.410683,3.663325,5.870162,5.728314
1995-09-27,11.337654,3.678891,5.893735,5.697803
1995-09-28,11.246369,3.798234,5.988036,5.675374
1995-09-29,11.246369,3.756724,5.870162,5.720237
1995-10-02,11.282885,3.663325,5.799436,5.697803
1995-10-03,11.428943,3.689269,5.752285,5.664158
1995-10-04,11.538487,3.575114,5.610836,5.709022
1995-10-05,11.538487,3.632192,5.68156,5.652941
1995-10-06,11.702793,3.564738,5.657987,5.641726
1995-10-09,11.848853,3.450584,5.58726,5.641726
1995-10-10,11.757567,3.476526,5.563684,5.619293
1995-10-11,11.684535,3.595871,5.657987,5.574428
1995-10-12,11.775826,3.637381,6.01161,5.641726
1995-10-13,11.721049,3.580305,5.988036,5.652941
1995-10-16,11.593254,3.601058,5.823009,5.641726
1995-10-17,11.684535,3.782669,5.799436,5.742669
1995-10-18,11.724905,3.969467,5.68156,5.765101
1995-10-19,11.926743,4.016168,5.68156,5.85483
1995-10-20,11.890045,3.964279,5.657987,5.798749
1995-10-23,11.871694,4.000599,5.58726,5.697803
1995-10-24,12.293717,4.047301,5.58726,5.652941
1995-10-25,12.128581,3.979845,5.54011,5.652941
1995-10-26,12.018489,4.068055,5.492961,5.608078
1995-10-27,11.963445,4.151078,5.610836,5.585643
1995-10-30,11.926743,4.26523,5.653773,5.664158
1995-10-31,11.890045,4.151078,5.486786,5.675374
1995-11-01,12.091881,4.083623,5.439074,5.585643
1995-11-02,12.238677,4.151078,5.498713,5.697803
1995-11-03,12.220327,4.130322,5.46293,5.630508
1995-11-06,12.036838,4.042114,5.486786,5.641726
1995-11-07,11.890045,3.860502,5.486786,5.697803
1995-11-08,12.110233,3.953902,5.415218,5.821182
1995-11-09,12.238677,4.109566,5.367507,5.832396
1995-11-10,12.183624,4.021356,5.439074,5.888478
1995-11-13,12.385463,3.998007,5.439074,5.888478
1995-11-14,12.238677,3.902012,5.486786,5.877264
1995-11-15,12.752443,3.902012,5.558353,5.922131
1995-11-16,12.899229,3.730781,5.558353,6.067938
1995-11-17,13.064372,3.627003,5.46293,6.011858
1995-11-20,12.880883,3.569925,5.534498,5.966993
1995-11-21,12.697396,3.652947,5.558353,6.045505
1995-11-22,12.51391,3.627003,5.558353,5.94456
1995-11-24,12.697396,3.652947,5.534498,5.922131
1995-11-27,12.880883,3.621815,5.510639,5.866046
1995-11-28,12.51391,3.798234,5.46293,6.011858
1995-11-29,12.624001,3.725591,5.510639,6.067938
1995-11-30,12.697396,3.616626,5.391363,6.023075
1995-12-01,12.440516,3.580305,5.510639,6.157668
1995-12-04,12.403816,3.647758,5.701485,6.236181
1995-12-05,12.734091,3.569925,5.582206,6.269829
1995-12-06,12.91758,3.761915,5.510639,6.404422
1995-12-07,12.91758,3.756724,5.46293,6.359556
1995-12-08,12.789143,3.922768,5.46293,6.314692
1995-12-11,12.715742,3.86569,5.486786,6.348342
1995-12-12,12.624001,3.793046,5.415218,6.460505
1995-12-13,12.697396,3.808614,5.46293,6.460505
1995-12-14,12.642352,3.68408,5.415218,6.404422
1995-12-15,12.624001,3.668513,5.391363,6.494153
1995-12-18,12.312069,3.611438,5.391363,6.516587
1995-12-19,12.348769,3.772291,5.46293,6.460505
1995-12-20,12.128581,3.616626,5.558353,6.281044
1995-12-21,12.091881,3.73597,5.629918,6.32591
1995-12-22,12.183624,3.756724,5.653773,6.426853
1995-12-26,12.257026,3.746347,5.653773,6.471721
1995-12-27,12.201973,3.689269,5.534498,6.479398
1995-12-28,12.220327,3.627003,5.510639,6.422959
1995-12-29,12.183624,3.64257,5.510639,6.501975
1996-01-02,12.201973,3.725591,5.606063,6.637432
1996-01-03,12.568954,3.60625,5.701485,6.648719
1996-01-04,12.770791,3.627003,5.653773,6.569705
1996-01-05,12.825838,3.585492,5.510639,6.580993
1996-01-08,12.880883,3.580305,5.510639,6.626146
1996-01-09,12.862533,3.328645,5.391363,6.56264
1996-01-10,12.697396,3.419449,5.24823,6.355227
1996-01-11,12.495561,3.595871,5.391363,6.366517
1996-01-12,12.532256,3.559548,5.295942,6.343938
1996-01-15,12.568954,3.424639,5.295942,6.343938
1996-01-16,13.027671,3.585492,5.295942,6.400379
1996-01-17,12.718017,3.523226,5.295942,6.445533
1996-01-18,12.699586,3.637381,5.224374,6.547126
1996-01-19,12.810173,3.8138,5.295942,6.705161
1996-01-22,12.736454,3.818991,5.510639,6.682587
1996-01-23,12.699586,3.715213,5.606063,6.592279
1996-01-24,13.012927,3.787856,5.653773,6.660006
1996-01-25,12.644292,3.710026,5.606063,6.750312
1996-01-26,12.82861,3.756724,5.582206,6.818042
1996-01-29,12.588986,3.751536,5.601521,6.761604
1996-01-30,12.515264,3.769697,5.698098,6.818042
1996-01-31,12.386244,3.839746,5.698098,6.930923
1996-02-01,12.367814,3.907202,5.891253,6.9535
1996-02-02,12.294084,3.860502,5.770533,6.964791
1996-02-05,12.349377,4.031734,5.770533,7.055096
1996-02-06,12.201926,4.005789,5.746388,7.145397
1996-02-07,12.349377,4.021356,5.770533,7.077668
1996-02-08,12.681157,4.104377,5.698098,7.179264
1996-02-09,12.939203,4.156265,5.842967,7.167977
1996-02-12,12.773313,4.130322,5.891253,7.19055
1996-02-13,12.92077,4.135509,5.963689,7.20184
1996-02-14,12.644292,4.099188,5.987831,7.111534
1996-02-15,12.718017,4.08881,5.842967,7.043805
1996-02-16,12.699586,4.062866,5.915399,6.998654
1996-02-20,12.441542,4.057677,5.794678,6.9535
1996-02-21,12.330952,4.145889,5.891253,7.032519
1996-02-22,12.220358,4.254855,5.987831,7.19055
1996-02-23,12.294084,4.296365,5.867112,7.20184
1996-02-26,12.312515,4.177021,5.915399,7.088955
1996-02-27,12.238791,4.156265,6.036125,7.021227
1996-02-28,12.109767,4.156265,6.084411,6.874483
1996-02-29,12.091332,4.096594,6.036125,6.818042
1996-03-01,12.4784,3.964279,6.084411,6.942215
1996-03-04,12.625862,3.995412,6.180985,7.074854
1996-03-05,12.902341,4.073245,6.253422,7.108921
1996-03-06,12.754886,4.026544,6.205133,7.074854
1996-03-07,12.902341,4.039516,6.253422,7.074854
1996-03-08,12.570562,3.948712,6.036125,6.790953
1996-03-11,12.681157,4.005789,6.253422,6.949936
1996-03-12,12.625862,3.974657,6.277569,6.813662
1996-03-13,12.459972,4.1874,6.325857,6.779592
1996-03-14,12.404679,4.135509,6.374145,6.825016
1996-03-15,12.257214,4.249666,6.277569,6.881799
1996-03-18,12.588986,4.369009,6.543154,7.074854
1996-03-19,12.570562,4.436464,6.494867,7.006716
1996-03-20,12.82861,4.343066,6.5673,7.018072
1996-03-21,12.847037,4.182211,6.543154,7.029428
1996-03-22,12.957633,4.197777,6.494867,7.120277
1996-03-25,12.791745,4.145889,6.5673,7.17706
1996-03-26,12.883904,4.26523,6.494867,7.17706
1996-03-27,12.644292,4.254855,6.494867,7.165702
1996-03-28,12.644292,4.244474,6.615589,7.108921
1996-03-29,12.496838,4.280797,6.639732,7.074854
1996-04-01,12.736454,4.26523,6.760457,7.211125
1996-04-02,12.718017,4.343066,6.832892,7.222479
1996-04-03,12.791745,4.337877,6.760457,7.290619
1996-04-04,12.847037,4.332687,6.808744,7.301979
1996-04-08,12.4784,4.306742,6.808744,7.23384
1996-04-09,12.238791,4.218533,6.808744,7.120277
1996-04-10,11.943881,4.218533,6.663878,6.96129
1996-04-11,12.109767,4.197777,6.519012,6.87044
1996-04-12,12.275659,4.197777,6.615589,6.984005
1996-04-15,12.423104,4.297011,6.712167,7.108921
1996-04-16,12.588986,4.369009,6.832892,7.063496
1996-04-17,12.444551,4.397547,7.074335,7.108921
1996-04-18,12.518623,4.524675,6.929465,7.199769
1996-04-19,12.40751,4.555806,6.88118,7.188414
1996-04-22,12.611216,4.68034,6.929465,7.222479
1996-04-23,12.5927,4.675152,6.977758,7.211125
1996-04-24,12.518623,4.628452,6.905324,7.17706
1996-04-25,12.666777,4.68034,6.808744,7.086206
1996-04-26,12.574183,4.711472,6.808744,7.074854
1996-04-29,12.481586,4.675152,6.929465,7.052138
1996-04-30,12.518623,4.701095,6.997736,7.018072
1996-05-01,12.555657,4.778926,7.168415,7.074854
1996-05-02,12.314915,4.633639,6.948972,7.040781
1996-05-03,12.296396,4.602506,6.973353,6.99536
1996-05-06,12.333438,4.638828,6.924591,6.927224
1996-05-07,12.240842,4.695907,7.022122,6.847729
1996-05-08,12.481586,4.742604,6.973353,6.90451
1996-05-09,12.676031,4.711472,6.997736,6.99536
1996-05-10,12.777884,4.768549,6.900209,7.063496
1996-05-13,12.888998,4.924215,6.973353,7.131632
1996-05-14,12.851959,4.939783,7.095263,7.165702
1996-05-15,12.870481,4.882704,7.070883,7.154343
1996-05-16,13.00011,4.861949,7.168415,7.256551
1996-05-17,12.98159,4.85676,7.265944,7.381467
1996-05-20,12.98159,4.846382,7.217176,7.66537
1996-05-21,13.111223,4.778926,7.144031,7.563165
1996-05-22,13.314921,4.851572,7.192798,7.710795
1996-05-23,13.259368,4.919026,7.217176,7.688083
1996-05-24,13.389003,4.919026,7.046502,7.722152
1996-05-28,13.222337,4.867137,7.168415,7.517744
1996-05-29,13.037146,4.861949,7.119649,7.472314
1996-05-30,13.16678,4.908648,7.119649,7.563165
1996-05-31,13.018626,4.929406,7.119649,7.517744
1996-06-03,13.00011,4.913837,7.095263,7.529097
1996-06-04,13.129738,4.893083,7.144031,7.619944
1996-06-05,13.370486,5.017614,7.070883,7.66537
1996-06-06,13.444557,4.973509,6.875825,7.835712
1996-06-07,13.426041,5.033182,6.827061,7.801645
1996-06-10,13.463071,5.007236,6.851443,7.813002
1996-06-11,13.314921,5.069501,6.802676,7.688083
1996-06-12,13.240853,5.188846,6.827061,7.744859
1996-06-13,13.222337,5.173279,6.753918,7.790287
1996-06-14,13.203807,5.105824,6.705144,7.790287
1996-06-17,13.129738,5.173279,6.705144,7.835712
1996-06-18,13.00011,5.079883,6.705144,7.778934
1996-06-19,13.314921,5.053935,6.802676,7.778934
1996-06-20,13.370486,5.053935,6.753918,7.778934
1996-06-21,13.444557,5.142146,6.632002,7.903849
1996-06-24,13.555667,5.152524,6.51009,7.937917
1996-06-25,13.851971,5.064312,6.388179,7.971984
1996-06-26,13.851971,5.002048,6.193119,7.892498
1996-06-27,13.518633,4.978698,6.31503,7.949275
1996-06-28,13.426041,4.986481,6.31503,7.881137
1996-07-01,13.426041,5.077286,6.436941,7.96882
1996-07-02,13.203807,5.048748,6.534472,7.991652
1996-07-03,13.222337,5.027993,6.217502,7.96882
1996-07-05,13.00011,4.913837,6.119971,7.820403
1996-07-08,12.963071,4.994264,6.022441,7.660566
1996-07-09,13.074183,4.981292,5.99806,7.729072
1996-07-10,13.111223,4.960537,6.144352,7.797565
1996-07-11,12.944552,4.752985,6.071207,7.660566
1996-07-12,12.777884,4.664773,5.99806,7.671985
1996-07-15,12.463071,4.59213,6.071207,7.432232
1996-07-16,12.518623,4.789305,5.949298,7.386569
1996-07-17,12.56703,4.861949,6.290649,7.557818
1996-07-18,12.771829,4.976105,6.266265,7.660566
1996-07-19,12.734589,5.022151,6.290649,7.500738
1996-07-22,12.827684,4.970914,6.241883,7.386569
1996-07-23,12.827684,4.654396,6.241883,7.24957
1996-07-24,12.734589,4.763362,6.217502,7.295237
1996-07-25,12.715972,4.919026,6.266265,7.363737
1996-07-26,12.939388,4.94497,6.266265,7.432232
1996-07-29,12.958009,4.851572,6.144352,7.306653
1996-07-30,13.144182,4.924215,6.31503,7.318072
1996-07-31,13.293124,4.893083,6.391033,7.512151
1996-08-01,13.348974,5.007236,6.662469,7.614902
1996-08-02,13.516539,5.121392,6.687143,7.866067
1996-08-05,13.591014,5.053935,6.637792,7.843235
1996-08-06,13.553781,5.147335,6.613114,7.90032
1996-08-07,13.516539,5.178468,6.588439,7.831817
1996-08-08,13.088334,5.199224,6.637792,7.751899
1996-08-09,13.06971,5.16809,6.662469,7.649153
1996-08-12,13.218654,5.199224,6.761171,7.763318
1996-08-13,13.218654,5.12658,6.514414,7.763318
1996-08-14,13.330358,5.183657,6.588439,7.797565
1996-08-15,13.25589,5.194034,6.588439,7.740485
1996-08-16,13.442063,5.157714,6.563761,7.751899
1996-08-19,13.479304,5.12658,6.563761,7.763318
1996-08-20,13.367599,5.121392,6.637792,7.763318
1996-08-21,13.274507,5.12658,6.613114,7.671985
1996-08-22,13.497917,5.188846,6.711822,7.729072
1996-08-23,13.479304,5.116202,6.662469,7.831817
1996-08-26,13.330358,5.100635,6.687143,7.820403
1996-08-27,13.497917,5.178468,6.711822,7.90032
1996-08-28,13.684103,5.214791,6.662469,7.888903
1996-08-29,13.367599,5.152524,6.588439,7.740485
1996-08-30,13.23727,5.085069,6.613114,7.592068
1996-09-03,13.25589,5.121392,6.563761,7.683403
1996-09-04,13.181415,5.121392,6.539091,7.69482
1996-09-05,13.088334,5.043558,6.440385,7.603487
1996-09-06,13.181415,5.085069,6.29233,7.740485
1996-09-09,13.330358,5.183657,6.29233,7.820403
1996-09-10,13.516539,5.162902,6.242978,7.854651
1996-09-11,13.516539,5.194034,6.193628,7.854651
1996-09-12,13.535156,5.339322,6.267653,7.945985
1996-09-13,13.758574,5.43791,6.317007,8.071567
1996-09-16,13.851664,5.458666,6.317007,8.071567
1996-09-17,13.795806,5.557254,6.391033,7.945985
1996-09-18,13.758574,5.66622,6.341684,7.96882
1996-09-19,13.572397,5.718109,6.29233,8.025903
1996-09-20,13.888893,5.733675,6.317007,8.140068
1996-09-23,13.963367,5.718109,6.218303,8.082982
1996-09-24,14.16816,5.681788,6.144276,8.20857
1996-09-25,14.279864,5.629899,6.119599,8.356985
1996-09-26,14.354342,5.479423,6.070247,8.295941
1996-09-27,14.410191,5.578009,6.045572,8.399215
1996-09-30,14.5219,5.474232,6.168952,8.353312
1996-10-01,14.559139,5.48461,6.242978,8.318891
1996-10-02,14.484661,5.593577,6.267653,8.43363
1996-10-03,14.614989,5.562444,6.168952,8.43363
1996-10-04,14.875647,5.661032,6.242978,8.5828
1996-10-07,14.726701,5.707729,6.29233,8.640172
1996-10-08,14.503284,5.61952,6.29233,8.571327
1996-10-09,14.372967,5.5832,6.267653,8.525432
1996-10-10,14.205398,5.552066,6.267653,8.445109
1996-10-11,14.093691,5.692165,6.317007,8.663122
1996-10-14,14.224016,5.67141,6.489735,8.720492
1996-10-15,14.484661,5.764808,6.563761,8.743446
1996-10-16,14.364955,5.728487,6.391033,8.720492
1996-10-17,14.589409,5.624708,6.29233,8.73197
1996-10-18,14.832562,5.593577,6.267653,8.73197
1996-10-21,14.477182,5.562444,6.242978,8.789337
1996-10-22,14.5333,5.500177,6.218303,8.777863
1996-10-23,14.402367,5.5832,6.193628,8.858186
1996-10-24,14.065683,5.67141,6.193628,8.82376
1996-10-25,14.065683,5.663626,6.168952,8.800814
1996-10-28,14.252733,5.67141,6.144276,8.720492
1996-10-29,14.645532,5.61952,6.168952,8.812284
1996-10-30,14.626822,5.655842,6.17095,8.812284
1996-10-31,14.813862,5.697354,6.245902,8.881132
1996-11-01,14.813862,5.702543,6.096,8.869653
1996-11-04,15.01961,5.728487,6.295869,8.938504
1996-11-05,15.262771,5.873774,6.320853,9.064723
1996-11-06,15.730373,5.998306,6.320853,9.328632
1996-11-07,15.655553,5.956796,6.195937,9.431902
1996-11-08,15.767786,5.956796,6.320853,9.374529
1996-11-11,15.543335,5.961984,6.320853,9.363051
1996-11-12,15.655553,5.884151,6.270886,9.351582
1996-11-13,15.823896,6.019062,6.295869,9.512219
1996-11-14,15.91742,6.21105,6.295869,9.638442
1996-11-15,16.029644,6.185103,6.270886,9.569592
1996-11-18,16.104467,6.242185,6.37082,9.489271
1996-11-19,16.141872,6.470493,6.37082,9.45485
1996-11-20,16.328913,6.361526,6.495738,9.431902
1996-11-21,16.310215,6.242185,6.395803,9.328632
1996-11-22,16.34762,6.24737,6.420789,9.271262
1996-11-25,16.590784,6.371904,6.495738,9.523693
1996-11-26,16.366333,6.382281,6.470758,9.363051
1996-11-27,16.310215,6.454927,6.495738,9.408954
1996-11-29,16.272804,6.512003,6.545705,9.546646
1996-12-02,16.254097,6.548323,6.545705,9.477798
1996-12-03,15.674261,6.421197,6.670623,9.110619
1996-12-04,15.618149,6.361526,6.595673,9.079059
1996-12-05,15.449806,6.351149,6.595673,8.961455
1996-12-06,15.505925,6.345959,6.470758,8.9844
1996-12-09,15.954823,6.787013,6.670623,9.041772
1996-12-10,15.880016,6.797389,6.545705,9.007353
1996-12-11,15.91742,6.921922,6.62066,8.904077
1996-12-12,15.655553,6.724746,6.420789,8.881132
1996-12-13,15.730373,6.641724,6.395803,8.881132
1996-12-16,15.749082,6.371904,6.245902,8.73197
1996-12-17,15.730373,6.631346,6.37082,8.961455
1996-12-18,15.580741,6.859653,6.395803,9.110619
1996-12-19,15.721027,7.046452,6.320853,9.431902
1996-12-20,16.179287,6.942677,6.37082,9.386002
1996-12-23,16.216692,6.953053,6.320853,9.271262
1996-12-24,16.328913,7.046452,6.420789,9.363051
1996-12-26,16.310215,7.098342,6.445773,9.477798
1996-12-27,16.459845,6.994563,6.420789,9.456584
1996-12-30,16.366333,6.932298,6.445773,9.375853
1996-12-31,16.104467,6.859653,6.445773,9.122144
1997-01-02,15.954823,6.776631,6.37082,9.006816
1997-01-03,16.216692,7.025698,6.495738,9.145207
1997-01-06,16.328913,7.004943,6.62066,9.133676
1997-01-07,16.628185,7.05683,6.695605,9.318189
1997-01-08,16.328913,6.921922,6.845511,9.191337
1997-01-09,16.42244,6.838899,6.745576,9.329723
1997-01-10,16.34762,6.994563,6.695605,9.352795
1997-01-13,16.197994,6.953053,6.645642,9.525775
1997-01-14,16.497255,7.087964,6.745576,9.652631
1997-01-15,16.34762,7.025698,6.62066,9.491178
1997-01-16,16.703005,7.13985,6.570692,9.364318
