Date,BP,F,XOM,LNC,AAPL
2000-02-25,20.306229,14.571413,22.703859,19.405207,3.533709
2000-02-28,20.964039,14.486569,23.482613,19.319721,3.625753
2000-02-29,21.536036,14.125995,24.061697,18.89229,3.669774
2000-03-01,21.793449,14.115374,24.301315,19.490698,4.172017
2000-03-02,21.936445,14.041161,24.600834,18.55036,3.905889
2000-03-03,21.736242,14.486569,24.181496,18.507614,4.097981
2000-03-06,21.593245,14.232047,23.302896,18.122934,4.023945
2000-03-07,23.194859,13.956315,25.559305,16.797909,3.933903
2000-03-08,24.253069,14.444152,25.439503,16.541445,3.905889
2000-03-09,24.195877,14.125995,25.699089,17.097095,3.913892
2000-03-10,24.424669,13.935104,24.610798,17.139835,4.025946
2000-03-13,23.595263,14.444152,24.241415,16.584192,3.883878
2000-03-14,23.395063,13.913898,24.680716,15.857562,3.657769
2000-03-15,24.138668,14.953198,24.840462,17.139835,3.7218
2000-03-16,24.596281,14.868358,25.479441,19.319721,3.891882
2000-03-17,23.509462,15.144089,24.640772,19.148752,4.001935
2000-03-20,23.023252,14.847147,23.921911,19.319721,3.937904
2000-03-21,23.681057,15.547088,24.600834,20.046356,4.320089
2000-03-22,23.538067,14.931986,23.941893,19.918121,4.616234
2000-03-23,23.566664,15.10167,24.121595,21.285889,4.524187
2000-03-24,23.166254,15.144089,24.680716,21.927032,4.440146
2000-03-27,22.422653,14.995618,24.446079,20.858458,4.468161
2000-03-28,22.136646,15.10167,25.239819,20.644756,4.454154
2000-03-29,23.023252,15.207725,25.719051,21.414112,4.352105
2000-03-30,23.766869,15.822816,25.120018,23.935942,4.025946
2000-03-31,24.367462,15.589502,24.920315,22.910116,4.348102
2000-04-03,24.081474,15.950073,25.719051,22.610918,4.268064
2000-04-04,24.110067,16.650015,26.358046,22.653656,4.07597
2000-04-05,23.566664,16.734852,25.479441,22.482685,4.174019
2000-04-06,23.766869,16.946955,26.118414,21.690937,4.007938
2000-04-07,23.423658,16.4167,25.419529,21.259716,4.21804
2000-04-10,23.395063,17.328741,25.000214,21.345955,4.001935
2000-04-11,23.881269,17.625689,25.359623,21.86344,3.823849
2000-04-12,23.852665,18.198355,25.539345,22.682785,3.497691
2000-04-13,23.566664,18.474092,25.559305,23.93335,3.643761
2000-04-14,22.708649,17.731735,25.15995,21.690937,3.581732
2000-04-17,21.736242,19.364925,24.121595,21.690937,3.965918
2000-04-18,22.022249,18.792248,24.341249,21.94969,4.061965
2000-04-19,22.336859,18.664984,24.740608,22.208426,3.877875
2000-04-20,22.76585,18.707401,25.239819,22.941528,3.80584
2000-04-24,22.76585,18.771038,25.519373,23.847107,3.857866
2000-04-25,23.909872,18.664984,25.878805,23.070887,4.107985
2000-04-26,23.795462,18.664984,25.599247,21.94969,3.883878
2000-04-27,24.253069,18.707401,25.778957,21.389086,4.057963
2000-04-28,23.337856,18.75021,24.820478,24.019592,3.971921
2000-05-01,23.452255,18.514761,24.920315,24.105839,3.979924
2000-05-02,23.538067,18.236506,25.000214,24.23522,3.773824
2000-05-03,23.681057,18.172295,24.760586,22.725906,3.683781
2000-05-04,23.909872,18.022465,25.399565,22.855272,3.543714
2000-05-05,24.853676,18.108082,25.559305,23.114014,3.621752
2000-05-08,25.225487,18.343529,25.699089,23.027769,3.525705
2000-05-09,24.338879,18.172295,25.379595,23.070887,3.375632
2000-05-10,24.167274,17.894039,26.038553,23.286503,3.179538
2000-05-11,25.025276,18.129488,26.641655,23.372755,3.291592
2000-05-12,24.782146,18.279316,26.350519,24.321465,3.445666
2000-05-15,25.16828,17.93684,26.862497,25.097683,3.233564
2000-05-16,24.653473,18.215099,26.742027,24.537081,3.383636
2000-05-17,24.576578,17.93684,26.139729,24.278345,3.245569
2000-05-18,25.008261,18.364935,26.164818,24.321465,3.225559
2000-05-19,25.180925,18.300724,26.260185,23.458994,3.009455
2000-05-22,25.008261,17.551577,26.76211,24.321465,2.879392
2000-05-23,24.864368,17.594381,26.661726,25.097683,2.747329
2000-05-24,24.519022,17.787016,26.641655,26.089514,2.807358
2000-05-25,24.288801,17.358929,26.159801,26.089514,2.79385
2000-05-26,24.173683,16.502758,26.460953,26.003267,2.765337
2000-05-30,24.662916,16.802416,26.822334,26.477629,2.803355
2000-05-31,25.123365,16.631182,26.76211,26.736353,2.6893
2000-06-01,25.526249,16.95225,26.641655,27.340088,2.85338
2000-06-02,25.785267,16.566965,25.437054,26.908844,2.963433
2000-06-05,25.900375,17.42314,25.477201,26.175755,2.923413
2000-06-06,26.360826,17.123482,26.44088,25.927776,2.973438
2000-06-07,25.698923,16.930838,26.059429,27.210707,3.091495
2000-06-08,25.871601,16.781015,25.718124,26.477629,3.035468
2000-06-09,25.727709,17.080671,25.437054,26.262009,3.065483
2000-06-12,26.418386,17.16629,25.938963,26.262009,2.919412
2000-06-13,26.562279,17.102079,26.07951,26.865726,3.025463
2000-06-14,26.418386,16.524162,26.541273,26.951967,2.8954
2000-06-15,25.583822,15.753604,26.481028,26.218887,2.95743
2000-06-16,26.389603,15.411132,27.103395,25.140806,2.919412
2000-06-19,26.447165,15.282711,27.003035,25.658278,3.093496
2000-06-20,26.015495,14.726192,26.742027,24.537081,3.241567
2000-06-21,26.360826,14.961641,26.967896,25.011431,3.561723
2000-06-22,26.677385,14.961641,26.561346,25.227049,3.441664
2000-06-23,26.648607,15.218489,26.701878,26.520744,3.3096
2000-06-26,26.648607,14.683387,26.777126,26.262009,3.465676
2000-06-27,26.216946,14.683387,26.360575,26.391376,3.313602
2000-06-28,25.785267,15.068659,26.380661,25.334818,3.485686
2000-06-29,26.188152,15.417726,26.084518,25.097683,3.281587
2000-06-30,26.073053,15.328604,25.216204,24.92519,3.353622
2000-07-03,26.850065,15.662808,25.552473,25.485783,3.41365
2000-07-05,24.80681,15.974725,24.714281,25.658278,3.305598
2000-07-06,25.180925,16.509443,25.115839,26.424952,3.317604
2000-07-07,25.497486,16.487165,25.221224,28.511133,3.485686
2000-07-10,25.842827,16.665401,25.095762,27.728813,3.657769
2000-07-11,26.389603,17.044167,25.878733,28.858824,3.645763
2000-07-12,25.727709,17.222406,25.251318,30.162693,3.769823
2000-07-13,25.180925,17.177843,25.055599,29.554234,3.617749
2000-07-14,24.60536,16.93276,24.915064,30.119236,3.693786
2000-07-17,23.97224,16.520567,25.296515,29.402067,3.733806
2000-07-18,24.001028,16.732244,25.115839,29.467287,3.665772
2000-07-19,24.720469,16.910484,25.276445,29.684605,3.373631
2000-07-20,24.202461,16.888199,25.095762,31.292706,3.529707
2000-07-21,23.626907,16.888199,24.774529,30.119236,3.429658
2000-07-24,23.367899,16.865685,24.814672,30.293079,3.117507
2000-07-25,23.742012,17.045824,24.212379,31.510015,3.20555
2000-07-26,23.79957,16.84317,24.473373,31.249237,3.20555
2000-07-27,24.662916,16.933233,25.858656,31.683851,3.32961
2000-07-28,24.691692,16.617994,25.698051,31.11886,3.093496
2000-07-31,24.087355,16.775612,25.758268,30.336523,3.253573
2000-08-01,23.742012,16.888197,25.698051,30.858076,3.157527
2000-08-02,24.893137,16.775612,26.621571,30.901531,3.025463
2000-08-03,24.864368,18.422684,26.159801,31.16231,3.073486
2000-08-04,24.778028,18.343962,26.245132,31.814257,3.033467
2000-08-07,25.41114,18.383327,25.984137,31.988096,3.069484
2000-08-08,24.288801,18.580151,25.954012,32.031555,2.993447
2000-08-09,24.432682,18.580151,26.039354,31.857714,3.041471
2000-08-10,24.749258,18.580151,26.161272,31.640398,3.045472
2000-08-11,24.778028,18.343962,26.282394,33.335426,3.053477
2000-08-14,25.008261,18.265223,26.66593,33.683117,3.013457
2000-08-15,25.065815,17.910944,26.262199,33.378876,2.989445
2000-08-16,25.654417,17.83222,26.731522,32.640015,3.105501
2000-08-17,26.146646,17.04492,27.069649,33.987354,3.293592
2000-08-18,25.71232,17.477932,26.781975,33.813503,3.201548
2000-08-21,26.117695,17.163019,26.968733,33.770031,3.233564
2000-08-22,26.233528,17.635391,26.847612,34.204662,3.3096
2000-08-23,26.523079,17.241747,27.291702,34.117729,3.477682
2000-08-24,25.943962,17.477932,26.787046,33.335426,3.592733
2000-08-25,26.001879,17.399202,26.787046,32.509647,3.63776
2000-08-28,26.088749,16.493816,26.746674,32.335793,3.717798
2000-08-29,26.407261,15.903347,26.65078,32.900791,3.789832
2000-08-30,26.001879,16.296988,26.277319,36.247372,3.809842
2000-08-31,25.596495,15.234148,26.368196,37.562092,3.901887
2000-09-01,26.030827,15.745885,26.645729,36.073544,4.061965
2000-09-05,26.43622,16.611908,26.928349,35.465065,3.997933
2000-09-06,26.552023,16.415081,26.807228,36.85585,3.741809
2000-09-07,26.43622,16.296988,27.049465,36.768929,3.969919
2000-09-08,26.291428,16.375727,26.968733,38.246635,3.769823
2000-09-11,26.378298,16.375727,27.448116,39.028954,3.741809
2000-09-12,26.117695,15.785243,27.695427,37.942394,3.697789
2000-09-13,25.625462,15.942709,27.715609,37.16008,3.713796
2000-09-14,25.017393,16.296988,27.538967,37.420856,3.640756
2000-09-15,25.857101,16.296988,28.422129,36.334297,3.536706
2000-09-18,25.915009,16.375727,28.952,34.726204,3.883875
2000-09-19,25.191126,16.218256,28.422129,36.073544,3.837855
2000-09-20,24.98844,15.785243,27.937656,35.508545,3.908886
2000-09-21,24.727842,15.62779,27.877106,34.900043,3.629755
2000-09-22,24.496204,16.139536,27.937656,36.290859,3.341616
2000-09-25,24.322472,16.021437,27.730728,35.943142,3.425656
2000-09-26,24.438293,15.35224,27.978037,35.247765,3.293592
2000-09-27,24.698891,15.588428,28.825848,34.813133,3.133515
2000-09-28,24.177702,15.785243,28.79052,33.987354,3.425656
2000-09-29,24.554113,16.060804,28.780409,33.465832,1.648797
2000-10-02,24.930525,16.415081,29.532373,33.291946,1.552751
2000-10-03,24.727842,16.139536,29.330502,33.031185,1.428691
2000-10-04,24.496204,16.611908,28.825848,32.683491,1.512731
2000-10-05,24.351423,16.336359,28.805662,33.848511,1.412683
2000-10-06,24.612022,15.942709,28.886404,32.624012,1.420687
2000-10-09,24.814716,16.296988,29.431438,32.274155,1.392674
2000-10-10,25.133224,15.824618,30.137939,31.53072,1.336646
2000-10-11,25.538589,15.194777,30.279257,32.449081,1.256608
2000-10-12,26.26247,14.722404,30.400362,29.387856,1.280619
2000-10-13,25.277998,15.982072,29.22957,31.618162,1.412683
2000-10-16,25.393812,15.509697,28.361568,31.224592,1.376666
2000-10-17,24.959482,15.3916,28.361568,30.349951,1.288623
2000-10-18,24.583067,15.785243,27.957834,29.650242,1.288623
2000-10-19,24.872623,16.139536,27.937656,30.962183,1.212586
2000-10-20,25.249044,15.785243,28.563435,31.137125,1.248604
2000-10-23,24.98844,15.863976,28.765289,30.962183,1.304631
2000-10-24,24.727842,16.257626,28.018394,32.405357,1.208585
2000-10-25,24.061876,15.824618,28.1597,32.886414,1.184573
2000-10-26,24.09083,15.824618,28.341375,31.924288,1.184573
2000-10-27,23.395899,16.10017,28.28083,32.492805,1.188575
2000-10-30,23.627541,16.888842,28.886404,33.76104,1.236598
2000-10-31,23.598585,16.649851,28.805662,33.848511,1.252606
2000-11-01,24.032921,16.450693,29.734232,33.586109,1.312635
2000-11-02,23.106352,16.61002,28.482691,34.023445,1.428691
2000-11-03,22.787838,16.132036,28.260637,32.405357,1.424689
2000-11-06,22.729925,16.849014,28.644171,32.274155,1.372664
2000-11-07,22.816793,15.932875,28.745113,33.673573,1.36466
2000-11-08,22.845749,15.813377,29.290136,33.717312,1.284621
2000-11-09,23.337994,16.211702,29.169231,33.49865,1.292625
2000-11-10,23.482758,15.972707,29.067799,33.804779,1.22059
2000-11-13,23.135302,16.132036,29.189526,32.449081,1.2406
2000-11-14,23.743362,16.132036,29.169231,33.804779,1.296627
2000-11-15,24.052401,16.729515,29.331518,33.061333,1.272615
2000-11-16,23.935785,15.932875,29.432936,33.411186,1.216588
2000-11-17,23.906635,15.893039,29.311228,32.755219,1.184573
2000-11-20,23.498468,14.976898,29.656057,32.317886,1.212586
2000-11-21,24.052401,15.534551,30.224033,31.399517,1.204583
2000-11-22,23.819172,15.176063,30.589161,29.8689,1.184573
2000-11-24,23.440159,15.335392,30.650019,30.568605,1.236598
2000-11-27,23.585932,15.654043,30.224033,31.399517,1.196579
2000-11-28,23.294382,15.375222,30.203747,31.705643,1.154555
2000-11-29,22.62384,15.574387,28.864964,31.96804,1.124544
2000-11-30,22.128214,14.498913,28.560692,31.618162,1.056511
2000-12-01,22.040737,15.415052,28.824408,32.667744,1.092528
2000-12-04,22.157364,15.176063,29.432936,33.105068,1.068517
2000-12-05,22.157364,15.77354,28.682405,33.935974,1.088526
2000-12-06,21.399347,15.215896,27.992722,33.892239,0.916443
2000-12-07,22.244825,15.295556,28.560692,34.329563,0.916443
2000-12-08,22.478064,15.375222,28.722971,34.417007,0.964466
2000-12-11,22.390606,15.215896,27.83046,34.941818,0.97247
2000-12-12,22.682137,15.056567,28.094143,34.635681,0.984476
2000-12-13,23.119457,15.056567,28.459278,33.717312,0.960464
2000-12-14,22.361444,14.817573,27.749319,33.017605,0.924447
2000-12-15,22.069901,14.339587,27.303049,32.755219,0.900435
2000-12-18,22.390606,14.976898,28.033302,34.023445,0.912441
2000-12-19,22.186522,15.016731,28.296997,32.842667,0.896433
2000-12-20,21.282724,14.100594,27.647879,32.142975,0.920445
2000-12-21,21.457651,15.415052,27.505903,32.361626,0.900435
2000-12-22,22.011587,14.538745,28.175282,33.017605,0.960464
2000-12-26,22.565531,15.295556,28.743259,33.192524,0.940455
2000-12-27,22.390606,15.016731,28.479563,33.586109,0.948459
2000-12-28,22.740452,15.454885,28.195576,33.411186,0.948459
2000-12-29,22.332296,14.937068,28.21586,33.105068,0.95246
2001-01-02,22.682137,15.494719,28.925827,31.793114,0.95246
2001-01-03,22.332296,16.012533,27.668177,32.580276,1.048507
2001-01-04,22.332296,17.167669,26.897369,30.043833,1.092528
2001-01-05,22.711292,16.729515,27.01907,29.519039,1.048507
2001-01-08,22.682137,16.331194,26.897369,29.381611,1.060513
2001-01-09,21.953281,16.849014,26.613375,30.262611,1.100532
2001-01-10,22.157364,16.729515,26.288824,30.086411,1.060513
2001-01-11,22.827908,17.167669,26.532234,29.337559,1.152557
2001-01-12,22.973682,16.809177,26.877077,28.500601,1.100532
2001-01-16,23.031994,17.287169,26.552523,29.95426,1.09653
2001-01-17,23.32354,17.127842,26.045412,29.910208,1.07652
2001-01-18,23.906635,17.327003,25.680298,29.425655,1.196579
2001-01-19,23.790007,16.769344,25.781706,28.941111,1.248604
2001-01-22,23.994089,17.287169,26.045412,30.350721,1.232596
2001-01-23,24.198174,17.207499,26.552523,30.747177,1.312635
2001-01-24,23.848314,17.685486,26.491671,31.540081,1.312635
2001-01-25,24.548029,17.884649,26.775661,31.18767,1.276617
2001-01-26,24.169018,18.037645,26.288824,31.496038,1.252606
2001-01-29,23.85998,18.224463,26.029179,31.631708,1.388672
2001-01-30,23.710716,18.230907,26.606888,31.730373,1.392674
2001-01-31,24.023245,18.160046,27.311159,31.610556,1.38467
2001-02-01,24.139866,18.276005,27.096954,31.920685,1.352654
2001-02-02,24.256483,18.044096,26.934687,32.033443,1.320639
2001-02-05,24.648321,18.327538,27.522131,32.90741,1.292625
2001-02-06,24.494381,18.514359,27.372828,32.597294,1.352654
2001-02-07,24.209837,17.560942,27.522909,32.442234,1.328642
2001-02-08,24.247152,18.044096,27.568584,32.13916,1.328642
2001-02-09,24.797588,17.341917,28.012299,32.251945,1.224592
2001-02-12,24.951525,17.90881,27.97966,33.365532,1.26061
2001-02-13,23.790007,17.986107,27.663189,32.280125,1.224592
2001-02-14,23.813326,17.94746,27.382622,31.991152,1.248604
2001-02-15,23.253572,18.037645,26.916073,32.089825,1.284621
2001-02-16,23.160275,17.779963,27.411972,32.773483,1.216588
2001-02-20,23.113626,17.850828,27.340206,30.835276,1.172567
2001-02-21,22.892822,17.831503,27.248859,30.059988,1.208585
2001-02-22,22.972689,17.721985,27.473969,30.306669,1.204583
2001-02-23,22.949202,18.263121,27.242329,30.130461,1.204583
2001-02-26,23.278055,18.424171,27.340206,31.244061,1.248604
2001-02-27,23.301544,18.314655,26.850826,31.955917,1.2406
2001-02-28,23.301544,17.915247,26.443003,30.919847,1.168565
2001-03-01,23.5975,18.17293,26.557201,30.785934,1.200581
2001-03-02,23.841801,18.076305,27.147717,30.870514,1.232596
2001-03-05,24.128376,18.230907,27.356512,30.64497,1.304631
2001-03-06,24.405546,18.707619,27.27496,30.518114,1.376666
2001-03-07,24.804874,18.733389,27.473969,31.103081,1.360658
2001-03-08,24.804874,19.551523,28.009022,31.392073,1.332645
2001-03-09,24.429037,19.390471,28.054707,30.997377,1.296627
2001-03-12,24.029716,19.487104,27.327154,31.723328,1.192577
2001-03-13,23.489462,19.222984,27.17708,33.090641,1.252606
2001-03-14,23.207575,18.482145,26.96174,31.36389,1.308633
2001-03-15,23.254572,18.424171,27.062893,31.575317,1.26061
2001-03-16,22.76129,18.314655,26.655066,31.138338,1.256608
2001-03-19,23.118326,19.20365,26.511524,30.863466,1.316637
2001-03-20,22.949202,18.565893,26.315763,29.580725,1.26061
2001-03-21,22.953901,18.1987,26.038439,29.545481,1.288623
2001-03-22,22.319685,17.915247,25.350048,27.557922,1.38467
2001-03-23,21.910965,17.973228,25.089039,28.157009,1.472712
2001-03-26,22.5217,18.675406,25.529495,28.826576,1.394594
2001-03-27,23.4331,18.114956,26.309238,29.319941,1.464388
2001-03-28,23.094835,17.998997,25.659992,29.14374,1.419567
2001-03-29,22.84584,18.353306,25.542543,29.348131,1.442618
2001-03-30,23.310936,18.114956,26.426682,29.933121,1.413163
2001-04-02,22.737785,18.430607,25.969936,29.996555,1.382429
2001-04-03,22.493511,17.631798,25.415298,29.1085,1.295987
2001-04-04,22.784773,18.404839,25.6763,29.876728,1.248604
2001-04-05,23.414286,18.263121,26.40386,30.997377,1.336326
2001-04-06,23.480057,17.90881,26.785578,30.305397,1.318397
2001-04-09,24.288105,18.681852,26.919334,30.717047,1.315196
2001-04-10,24.715609,18.656082,27.40546,30.340878,1.411243
2001-04-11,24.264606,18.153605,26.733372,30.532511,1.395875
2001-04-12,24.283401,18.681852,26.752947,30.844782,1.435574
2001-04-16,24.522999,18.797806,27.584894,30.858982,1.372824
2001-04-17,24.579369,18.604546,27.6371,31.121576,1.306231
2001-04-18,24.071999,19.783432,27.77412,31.973261,1.459266
2001-04-19,24.217627,19.519306,27.552269,31.760334,1.646876
2001-04-20,24.593462,19.32605,27.78718,31.313202,1.603335
2001-04-23,25.039762,19.364706,28.710476,30.979639,1.552751
2001-04-24,24.870638,19.113468,28.544086,30.48284,1.538664
2001-04-25,25.298147,18.553009,29.066093,31.448053,1.582845
2001-04-26,25.772636,18.81069,28.987797,31.511946,1.580924
2001-04-27,25.486071,19.074818,29.056313,32.392006,1.677611
2001-04-30,25.406204,19.185446,28.906235,32.761066,1.632149
2001-05-01,25.481359,18.417505,28.971483,33.605606,1.660323
2001-05-02,24.569981,19.035769,28.221094,33.250767,1.702583
2001-05-03,24.076698,18.677828,28.090586,32.82494,1.598213
2001-05-04,24.382065,18.925131,28.563665,33.179802,1.648797
2001-05-07,24.429037,18.515129,28.772469,33.002357,1.598213
2001-05-08,24.189444,18.326397,28.9519,33.002357,1.57324
2001-05-09,24.7344,18.274332,29.271633,32.99527,1.535463
2001-05-10,24.7344,18.495607,28.88476,33.023663,1.472712
2001-05-11,24.400848,18.105127,28.733946,33.236568,1.463107
2001-05-14,24.311592,18.09211,29.199511,33.492073,1.491281
2001-05-15,24.87533,18.196241,29.327379,33.882423,1.484238
2001-05-16,24.969913,18.280842,29.343773,34.49279,1.543146
2001-05-17,25.088144,17.935926,29.091316,35.131557,1.507929
2001-05-18,25.726582,17.656076,29.573261,34.599262,1.506648
2001-05-21,25.504311,17.343693,29.097868,34.712811,1.508569
2001-05-22,25.36244,16.907665,29.117546,34.854755,1.504727
2001-05-23,25.017202,16.784014,28.612629,33.946304,1.487439
2001-05-24,25.253675,16.692904,28.829016,34.883141,1.485519
2001-05-25,25.286772,16.100676,28.88476,34.783779,1.457345
2001-05-29,25.386084,16.263371,28.78639,34.961212,1.374745
2001-05-30,25.386084,16.009569,29.137201,34.69862,1.266532
2001-05-31,25.248932,15.846872,29.097868,34.94701,1.277418
2001-06-01,25.291508,16.003054,29.163441,35.138645,1.337607
2001-06-04,25.740767,16.003054,29.779835,35.344452,1.32288
2001-06-05,25.769142,15.762262,30.015882,35.734818,1.340808
2001-06-06,24.922626,15.762262,29.310986,35.66383,1.327362
2001-06-07,24.988842,15.710203,29.238846,35.827091,1.386911
2001-06-08,25.159088,15.619091,29.307703,36.040001,1.36514
2001-06-11,25.017202,16.159245,29.409346,36.018715,1.28318
2001-06-12,25.239496,16.048615,29.547056,35.90514,1.300469
2001-06-13,25.064505,15.996551,29.501146,36.295494,1.310714
2001-06-14,24.851686,15.931469,29.13065,35.599953,1.272936
2001-06-15,25.215834,15.677661,29.147051,35.472202,1.308793
2001-06-18,24.927347,16.26988,29.022425,35.720615,1.301749
2001-06-19,24.974648,16.100676,28.979803,35.784504,1.292785
2001-06-20,24.880068,16.042103,28.76992,36.60778,1.387551
2001-06-21,24.60578,16.855598,28.992924,36.976837,1.440056
2001-06-22,24.794939,16.393534,29.156883,36.487129,1.425329
2001-06-25,25.135439,16.321949,29.028976,36.160656,1.536103
2001-06-26,25.040859,16.133215,29.04211,36.444557,1.520736
2001-06-27,24.478086,15.794803,28.602686,36.018715,1.494483
2001-06-28,23.432947,16.146235,28.471497,36.763916,1.507289
2001-06-29,23.574821,15.977025,28.645306,36.728436,1.48872
2001-07-02,23.172848,16.328455,28.760086,37.296219,1.53034
2001-07-03,22.936392,16.302422,28.642031,36.834904,1.526498
2001-07-05,23.125551,16.289412,28.530527,36.508411,1.484878
2001-07-06,23.054611,15.801307,28.464937,35.590984,1.410602
2001-07-09,22.889093,15.859882,28.438704,35.519573,1.453503
2001-07-10,22.62899,16.107191,28.123896,35.698063,1.353615
2001-07-11,22.378342,16.47814,27.858253,35.255417,1.443258
2001-07-12,22.699928,16.439089,28.022223,35.71949,1.559794
2001-07-13,22.699928,16.660362,28.196041,35.890858,1.591169
2001-07-16,22.676292,16.26988,28.199301,35.897987,1.534182
2001-07-17,22.39253,16.738451,27.973042,36.340641,1.607177
2001-07-18,22.03784,16.491154,27.62871,35.726631,1.331203
2001-07-19,22.345251,16.686386,28.255066,35.305393,1.278058
2001-07-20,22.912745,16.764486,28.438704,34.377243,1.279338
2001-07-23,22.889093,16.608294,27.874657,33.734673,1.251165
2001-07-24,21.943264,16.419563,26.871164,34.341541,1.222351
2001-07-25,22.889093,16.59528,27.631983,34.284443,1.182652
2001-07-26,23.054611,16.328455,28.018946,34.627121,1.190336
2001-07-27,23.054611,16.439089,28.02549,35.105484,1.214027
2001-07-30,23.078255,16.374008,27.815624,36.197845,1.212106
2001-07-31,23.371462,16.575756,27.389313,36.433456,1.203142
2001-08-01,23.536995,16.483562,27.284376,36.347786,1.22043
2001-08-02,23.541719,16.542831,27.369637,36.576241,1.269094
2001-08-03,23.220135,16.430876,27.061371,36.240673,1.248604
2001-08-06,23.087713,16.233313,26.792459,35.269703,1.224912
2001-08-07,23.7167,16.299164,27.140078,35.833725,1.232596
2001-08-08,23.863297,16.048918,27.054811,35.669498,1.210185
2001-08-09,23.915323,16.048918,27.008648,35.590984,1.21979
2001-08-10,24.080835,16.312338,27.272455,35.569569,1.217869
2001-08-13,24.260546,15.634027,27.305437,35.698063,1.222351
2001-08-14,24.657795,15.140117,27.140564,36.140724,1.1993
2001-08-15,25.146921,14.850347,27.371407,36.190701,1.180731
2001-08-16,25.061201,15.456221,27.232889,35.955086,1.194177
2001-08-17,24.623035,14.290588,26.692057,35.84087,1.157039
2001-08-20,24.689703,13.434464,26.876734,35.883701,1.160241
2001-08-21,24.694475,13.236903,26.639294,35.633816,1.147435
2001-08-22,24.804018,13.375196,26.850344,35.198303,1.166004
2001-08-23,24.770662,13.223728,26.969061,36.419174,1.140392
2001-08-24,24.904039,13.427876,27.503305,36.576241,1.189055
2001-08-27,24.856401,13.335681,27.074598,36.226402,1.211466
2001-08-28,24.408712,13.381777,26.718439,36.354919,1.178169
2001-08-29,24.465853,13.296169,26.632687,36.062214,1.141672
2001-08-30,24.289639,13.01299,26.480999,35.748055,1.141672
2001-08-31,24.232494,13.085435,26.480999,35.598118,1.187774
2001-09-04,24.194384,13.335681,26.876734,35.255417,1.168565
2001-09-05,24.346792,13.151288,27.186716,35.155449,1.187774
2001-09-06,24.313448,12.775911,26.975668,34.184467,1.134629
2001-09-07,23.941969,12.354436,26.975668,33.434822,1.106455
2001-09-10,23.584763,12.775911,27.199923,34.305851,1.112218
2001-09-17,23.413317,10.899037,26.480999,32.271049,1.087886
2001-09-18,23.027525,11.149287,26.039104,31.985462,1.042424
2001-09-19,22.456007,10.820014,25.333387,31.200132,1.089807
2001-09-20,21.689222,10.200973,24.416599,30.343363,1.004005
2001-09-21,21.074839,10.102192,23.631739,30.129166,1.007207
2001-09-24,21.051025,10.820014,23.651527,31.742727,1.053309
2001-09-25,21.336784,10.615863,23.928535,31.628504,0.995041
2001-09-26,21.503479,10.787085,23.750454,31.914078,0.970069
2001-09-27,22.732246,10.905623,25.339983,32.206795,0.99312
